0,2013,2014,2015,2016,2017,2018,2019,2020,2021
增值服務,"44,985","63,310","80,669","107,810","153,983","176,646","199,991","264,212","291,572"
網絡廣告,"5,034","8,308","17,468","26,970","40,439","58,079","68,377","82,271","88,666"
其他,622,"2,561","4,726","17,158","43,338","77,969","7,566","7,495","7,685"
收入總额,"60,437","78,932","102,863","151,938","237,760","312,694","377,289","482,064","560,118"
金融科技及企業服務,0,0,0,0,0,0,"101,355","128,086","172,195"
電子商務交易,"9,796","4,753",0,0,0,0,0,0,0
